x,Z,T,rho,PV,SourcePV,psi,mu,Cps,alpha,Y.H2,Y.H,Y.O,Y.O2,Y.OH,Y.H2O,Y.HO2,Y.H2O2,Y.C,Y.CH,Y.CH2,Y.CH2(S),Y.CH3,Y.CH4,Y.CO,Y.CO2,Y.HCO,Y.CH2O,Y.CH2OH,Y.CH3O,Y.CH3OH,Y.C2H,Y.C2H2,Y.C2H3,Y.C2H4,Y.C2H5,Y.C2H6,Y.HCCO,Y.CH2CO,Y.HCCOH,Y.N,Y.NH,Y.NH2,Y.NH3,Y.NNH,Y.NO,Y.NO2,Y.N2O,Y.HNO,Y.CN,Y.HCN,Y.H2CN,Y.HCNN,Y.HCNO,Y.HOCN,Y.HNCO,Y.NCO,Y.N2,Y.AR,Y.C3H7,Y.C3H8,Y.CH2CHO,Y.CH3CHO
0.0313125,0.10913,1539.593643558696,0.18930561799297968,0.03323177543601632,0.6895890005089249,1.8683011891732502e-06,5.391729630835188e-05,1681.9256932028588,0.00045341149513635897,0.007670004125728747,3.115324352925695e-06,1.365749199759948e-06,0.02628490156002897,5.235227511827303e-06,0.1199174142447328,9.967539589895395e-06,4.269021161159409e-07,6.109243812066429e-12,5.399271288821077e-10,3.655124890689938e-07,8.666513485402469e-09,0.0003688435653762792,0.0276253918831552,0.09004881683610953,0.0327533863744277,5.435897980509884e-07,0.0002296934859511285,9.560387717241016e-08,1.375500495534774e-07,3.314009866838036e-05,1.608286248100352e-08,0.006632683470483632,3.884550191499132e-06,0.004172042111342005,7.16126644094976e-06,0.0009784035401229885,6.545037316043681e-06,0.001121880058466312,3.075784034278657e-06,1.23245251415756e-11,1.245946977331224e-11,1.213354329523589e-10,5.464717433715834e-08,8.42569000697922e-11,1.814286070666603e-08,5.941189438387508e-11,1.762389351353193e-08,1.117606318602914e-11,7.260598861952119e-13,2.003750659611848e-07,7.157486161008944e-13,9.560699273512406e-12,1.823437568592863e-09,3.500668334888078e-11,1.341124678329747e-08,1.264078930881925e-11,0.6821087928051562,1.199238828497034e-55,1.152089888356252e-08,7.083521402080203e-06,3.27482500603899e-07,4.931979888544606e-06
0.031375,0.10913,1548.47705480273,0.18812785375506638,0.03352269439741089,0.6591575978941523,1.856677559882223e-06,5.4132640816025565e-05,1682.4468385789962,0.00045863529707394004,0.007713312344590915,3.226651618889604e-06,1.308589373749036e-06,0.02433907112825413,5.340210152887035e-06,0.1209013934954453,8.799694851457168e-06,3.726177577842299e-07,7.589284424266274e-12,6.037015850139783e-10,3.888072866460586e-07,9.233341337344133e-09,0.0003713480412870671,0.02681750576240564,0.09099185750386778,0.03337016915249023,5.0323809177922e-07,0.0002045613368538879,9.126937624357272e-08,1.20777303899503e-07,2.90138358150032e-05,1.793280468765212e-08,0.006974624066029462,3.978830699570475e-06,0.004038177958428306,6.774815148789011e-06,0.0009055684237533559,6.80525749485004e-06,0.00108589747562564,3.255910275951536e-06,1.459110840926945e-11,1.316375247332489e-11,1.263730634682658e-10,5.576017995364944e-08,8.813614476652188e-11,1.870525565587367e-08,5.193410945970949e-11,1.715477872423802e-08,1.17224072565856e-11,8.046567685219252e-13,2.074753611001606e-07,8.014645454698911e-13,1.032278556619796e-11,1.883602045087683e-09,3.647761567415054e-11,1.357564666185805e-08,1.25815802962977e-11,0.6822054542783822,1.191480606201806e-55,1.032704702064353e-08,5.984052942424657e-06,2.986310846640191e-07,4.442808648022e-06
0.0315,0.10913,1564.038791859929,0.18609265717633414,0.034037570283919766,0.5899631004431622,1.8365917313233062e-06,5.4509289509392604e-05,1683.197353870135,0.00046794550959030007,0.007794100047965084,3.395790967299607e-06,1.176153899891118e-06,0.02088430680161731,5.463409994903133e-06,0.1226292501919798,6.897537288321296e-06,2.881630003777042e-07,1.082540457376734e-11,7.11815223323394e-10,4.240477870751406e-07,1.008326438348993e-08,0.0003707237771849104,0.02537526479583156,0.09262781198738457,0.03453167051255897,4.242765761807504e-07,0.000163359225248065,8.285028251463473e-08,9.302856511100796e-08,2.275336602515168e-05,2.153523186254848e-08,0.007651293876919799,4.032034618083298e-06,0.003747412615359759,5.96871211298915e-06,0.0007728236609413755,7.098546132983838e-06,0.001006528084568443,3.607306869293871e-06,1.924403435261271e-11,1.440204434345363e-11,1.346181353253149e-10,5.793495323767163e-08,9.434793434687255e-11,1.978320130794089e-08,4.059903992549968e-11,1.610028879365735e-08,1.266990460872559e-11,9.565013080357203e-13,2.216473795451632e-07,9.578347768693172e-13,1.144251837904691e-11,1.978574669699158e-09,3.931200166661844e-11,1.381984443634626e-08,1.220214007656034e-11,0.6823752973476327,1.179200560572454e-55,8.181605037819434e-09,4.286553772416457e-06,2.433756879845248e-07,3.549746160643688e-06
0.031625,0.10913,1577.05277554132,0.1844171883090876,0.03447314018604709,0.516089655332752,1.8200561392458667e-06,5.482371364069594e-05,1683.6583775536199,0.0004759012528327075,0.007867560202468664,3.496932577856923e-06,1.033546577440662e-06,0.01794722870450207,5.485042655033831e-06,0.1240741737309261,5.447570353143067e-06,2.262564133193562e-07,1.409695861785013e-11,7.847945996081694e-10,4.433883114891668e-07,1.053772126441919e-08,0.0003640648055485308,0.02413806532283864,0.09397056150418039,0.03560077310915739,3.515170946886389e-07,0.0001314651383043994,7.471211929112456e-08,7.167747546205474e-08,1.829032878553601e-05,2.482063656514496e-08,0.00830143823421353,3.936360268491e-06,0.003444723091499031,5.176872431761217e-06,0.0006583321283412096,7.111035894492752e-06,0.0009233465562354717,3.938408645546825e-06,2.362507696666826e-11,1.535765378569016e-11,1.403912801315849e-10,6.002597684472895e-08,9.85193028183682e-11,2.076575013182458e-08,3.247067284601223e-11,1.496013887995053e-08,1.338550923167595e-11,1.094177507053311e-12,2.354633044414755e-07,1.077087991982103e-12,1.197541875182544e-11,2.036563732080414e-09,4.195689626283332e-11,1.395421350563667e-08,1.155482510366014e-11,0.6825167193143725,1.168717961230187e-55,6.387103387944377e-09,3.085008883970395e-06,1.943679088055929e-07,2.794983456561613e-06
0.03175,0.10913,1587.890695927762,0.18303929046059011,0.03483945314088442,0.44373666051244537,1.8064573447874658e-06,5.508519537863208e-05,1683.9138333813742,0.000482663434016298,0.007934289503256607,3.537716662033547e-06,8.933490169065214e-07,0.01546295234398469,5.424712885668579e-06,0.1252732655162243,4.342004997985322e-06,1.801173817348667e-07,1.700695181538267e-11,8.186331622949371e-10,4.478111286010386e-07,1.062313081003819e-08,0.0003529911055506964,0.02307991063885365,0.09506021470407706,0.03658256471976823,2.880107679164146e-07,0.0001067245827676214,6.705466727229594e-08,5.541584296464814e-08,1.504493243435084e-05,2.762752238229638e-08,0.00891310464931105,3.733253723293442e-06,0.003144507978892595,4.442330915087325e-06,0.0005613293078467026,6.893312551906125e-06,0.0008407475954078298,4.243597498856707e-06,2.731678126876923e-11,1.599463205681207e-11,1.438352497558094e-10,6.202135878704106e-08,1.008079823070855e-10,2.163004889874247e-08,2.65042122019423e-11,1.379025189271213e-08,1.384640044916619e-11,1.211437453863865e-12,2.486503562504215e-07,1.148321245947528e-12,1.19591601349955e-11,2.057622453607082e-09,4.437815122498496e-11,1.398548653811553e-08,1.073567960842636e-11,0.6826328232557397,1.159940203670272e-55,4.949365001148708e-09,2.240231869476696e-06,1.531338494415306e-07,2.180539324704073e-06
0.031875,0.10913,1596.899977180516,0.1819051755181982,0.03514642336404268,0.37681722921518807,1.7952645005496975e-06,5.530232929498643e-05,1684.0264580948626,0.0004883959421992013,0.007994954336323596,3.528616604701502e-06,7.633885367958763e-07,0.01336697587305599,5.302989073288215e-06,0.1262627266702761,3.495045037960013e-06,1.451876848034773e-07,1.926801927598006e-11,8.166742620141928e-10,4.398814417281112e-07,1.040610395714162e-08,0.0003389925467638838,0.02217533186478066,0.09593637536477363,0.03748358134327062,2.34587842816746e-07,8.744364441527864e-05,5.995437983158315e-08,4.307886505481341e-08,1.26262757324943e-05,2.987413767676309e-08,0.009479140783184684,3.464361541025628e-06,0.002856949081635659,3.78684697164179e-06,0.0004800042073831895,6.510262985521937e-06,0.0007616658765249408,4.520047283712632e-06,3.006460505739226e-11,1.630624443058417e-11,1.452299464994322e-10,6.391281827259619e-08,1.014882014235158e-10,2.236497369211642e-08,2.201832780660861e-11,1.263366638078626e-08,1.405022472875667e-11,1.305058578835923e-12,2.61002841251702e-07,1.170933141888204e-12,1.15054041794035e-11,2.044851462935128e-09,4.655632721751429e-11,1.392453819586021e-08,9.829349546947456e-12,0.6827270581433077,1.152786919180169e-55,3.827452128194651e-09,1.64524020758546e-06,1.196954477384846e-07,1.693575063483854e-06
0.032,0.10913,1604.389299835063,0.18096960162496678,0.03540323369487599,0.31731239426195224,1.7860311041200753e-06,5.548270004770586e-05,1684.0417718998076,0.000493253321501747,0.00805023191714628,3.480785310517829e-06,6.475727646568147e-07,0.01159938106943419,5.138645826049053e-06,0.1270758385706142,2.841430296399225e-06,1.183662790583154e-07,2.074731124321537e-11,7.865608136281972e-10,4.227835884730671e-07,9.968146036494761e-09,0.0003232986914657418,0.02140086248137656,0.09663547509717904,0.03831096368496525,1.907448769030505e-07,7.232414359592335e-05,5.344246414513231e-08,3.371630543407856e-08,1.077700831672438e-05,3.154789964560406e-08,0.009996461072694552,3.164499961691892e-06,0.002588393939627421,3.217057804346303e-06,0.0004121731161190573,6.025173802809528e-06,0.0006878198973911786,4.767145259910088e-06,3.178977550510967e-11,1.631379680534407e-11,1.449224260076465e-10,6.56955923727188e-08,1.008788632954262e-10,2.296976268320709e-08,1.856859973569293e-11,1.152074038016496e-08,1.401476740451878e-11,1.374506699618525e-12,2.723914924158494e-07,1.151863530123535e-12,1.075201923934799e-11,2.003322885134e-09,4.848567654237359e-11,1.378474040066229e-08,8.901707429133779e-12,0.6828028327733165,1.146960050395983e-55,2.965242702540287e-09,1.223266849981581e-06,9.324821234482259e-08,1.31460436455045e-06
0.032125,0.10913,1610.623560506328,0.18019527864044452,0.035618034297272054,0.26582007765729226,1.7783891304262957e-06,5.563278306008944e-05,1683.9920638711264,0.0004973741907138363,0.00810077069416787,3.404624193840815e-06,5.470745757352587e-07,0.01010695998905079,4.947340270044794e-06,0.1277419798463728,2.332577182899304e-06,9.750238019495276e-08,2.145068583624184e-11,7.372214952048212e-10,3.996135665714376e-07,9.387445139112902e-09,0.000306850186730418,0.0207357431845732,0.09718946962577985,0.03907187028550377,1.55330374287544e-07,6.038284580567209e-05,4.752985882502983e-08,2.658868369131782e-08,9.328496545067844e-06,3.268528093240685e-08,0.01046502744582834,2.859223264920551e-06,0.002342138487542918,2.73035793026852e-06,0.0003556741508141559,5.490844386601726e-06,0.0006200336846369113,4.985814146252034e-06,3.255081863358135e-11,1.605901435419102e-11,1.432711209055152e-10,6.736807383394026e-08,9.929246081243406e-11,2.345128789067971e-08,1.586087258191904e-11,1.047092356598109e-08,1.37728250463938e-11,1.421223102984077e-12,2.827579195136041e-07,1.101646948711632e-12,9.828270376598257e-12,1.939007791218423e-09,5.017162361146872e-11,1.358044795368778e-08,7.99894983094182e-12,0.6828632848257,1.144002544470873e-55,2.3077446888128e-09,9.210705440487632e-07,7.266415206204664e-08,1.022997244925454e-06
0.03225,0.10913,1615.824840800896,0.17955188357104243,0.03579785183646844,0.22208114475283722,1.772039314789463e-06,5.575798500172162e-05,1683.899850114334,0.0005008788295927708,0.008147167418855905,3.30906526809217e-06,4.614049112858e-07,0.008843871168936241,4.741330098760814e-06,0.1282863719172256,1.932624582559803e-06,8.107686313465807e-08,2.14770485722788e-11,6.768626842955398e-10,3.729999759802967e-07,8.729404687104812e-09,0.0002903242008636871,0.02016210392261844,0.09762549422319586,0.0397731180799839,1.269875926685846e-07,5.087820767432866e-05,4.221191258953261e-08,2.113460999717166e-08,8.169229225293563e-06,3.33512115064226e-08,0.01088685129390086,2.565305310923729e-06,0.002119277188124948,2.319301305346e-06,0.0003085577768357792,4.946727639888811e-06,0.000558531726301932,5.177914657112434e-06,3.248933547682854e-11,1.559439661544435e-11,1.406102522629897e-10,6.8931288418985e-08,9.700663491849835e-11,2.382112576122873e-08,1.369643892809047e-11,9.495091039318762e-09,1.336531968697342e-11,1.447851648360805e-12,2.921008322105808e-07,1.03122921135726e-12,8.83759086045756e-12,1.857927023323823e-09,5.162765510069158e-11,1.332580087131945e-08,7.150180270101087e-12,0.6829111721082033,1.139122772934421e-55,1.807639315568349e-09,7.022263077378639e-07,5.679093711571664e-08,7.99935521098202e-07
0.032375,0.10913,1620.176437823261,0.17901497314762652,0.03594862382476624,0.18538438099581178,1.7667404208993479e-06,5.5862753452472825e-05,1683.780627586871,0.0005038692851650852,0.008189956311836086,3.20134560722149e-06,3.892152182277072e-07,0.007771426553357877,4.529746232058392e-06,0.1287302510644041,1.615227224647236e-06,6.80025610613906e-08,2.096971054754729e-11,6.119855503819066e-10,3.449646432416333e-07,8.043501009820262e-09,0.000274181108681934,0.01966484594362098,0.09796607935920733,0.0404209871641305,1.044060658993989e-07,4.325155719635328e-05,3.74687847155328e-08,1.693572012315822e-08,7.224164060774523e-06,3.36225590092507e-08,0.01126516067813061,2.29245575646356e-06,0.001919449405219719,1.974539568868023e-06,0.0002691555177444531,4.419499579005709e-06,0.0005031694504927563,5.345785072849013e-06,3.178108715588807e-11,1.497462726600483e-11,1.372311269130011e-10,7.038830327646011e-08,9.425242214718097e-11,2.409307252078495e-08,1.193814748951169e-11,8.59783730841525e-09,1.283497577771757e-11,1.457583886170262e-12,3.004597045144013e-07,9.500503486471701e-13,7.85311600824052e-12,1.765591374377799e-09,5.287226537350781e-11,1.303389526006556e-08,6.371172047526101e-12,0.6829488435770182,1.137311804035622e-55,1.426937777311333e-09,5.419096450287273e-07,4.460491752531365e-08,6.296033507211e-07
